 1328800    501.19797    5357.4981   -1783.7975    35663.933 
 1333200    491.46173    5366.4366    534.83771    35658.769 
 1337600    498.98688    5378.3071    -1397.949    35612.898 
 1342000    490.44051     5394.022     228.7529    35606.249 
 1346400    506.55486    5405.4746    111.57705    35591.031 
 1350800    500.36709    5411.9517   -1027.6359    35598.369 
 1355200    508.25997    5429.5899   -1213.2959    35645.563 
 1359600    494.20148    5435.3542   -109.18955    35589.565 
 1364000    497.31819    5455.7341    -699.5755    35585.155 
 1368400     491.5091    5490.0916   -2159.9038    35693.565 
 1372800    495.22547    5493.8169    1710.4159    35522.552 
 1377200    507.42474    5521.5039   -1455.5523    35613.714 
 1381600    495.40833     5545.571   -1816.2702    35667.558 
 1386000    500.65243    5555.8325    184.74595    35589.178 
 1390400    499.98225    5592.8351   -3035.9758    35639.011 
 1394800    487.70646    5614.3639   -1753.5707    35656.738 
 1399200    498.94776    5624.5032    1847.7736    35602.277 
 1403600    490.43061    5632.3463    2874.0976    35544.132 
 1408000    483.65771    5621.3164   -734.91224      35562.7 
 1412400    492.28193    5670.5162   -596.68541    35631.571 
 1416800    507.07048    5667.6527     4249.297    35502.777 
 1421200    495.05127    5680.6709    518.89172    35547.657 
 1425600    496.28503     5704.961    619.27964    35598.946 
 1430000    509.90661    5723.0237   -506.73625    35609.367 
 1434400    488.79817    5750.7623   -330.55662    35598.621 
 1438800    502.03737    5761.5392   -1084.1239     35612.57 
 1443200     505.2464    5772.6677    2680.8574    35516.372 
 1447600    479.65636    5785.3259    2608.7169    35502.737 
 1452000    501.99921    5813.3826    674.34129    35576.122 
 1456400    507.63721    5857.5189   -2974.4441    35674.078 
 1460800    497.93555    5872.6199   -1785.2924    35599.625 
 1465200    492.62061    5885.8009    821.68095     35615.66 
 1469600    501.24099    5906.4732   -3763.3159    35688.013 
 1474000    499.80655      5934.64    5.8673324    35565.925 
 1478400    513.16073    5974.8984   -56.567374    35588.862 
 1482800    499.48056    5976.8019    1817.9508    35591.547 
 1487200    491.19051     5974.677    4616.7878    35490.487 
 1491600    510.27759    6021.7502   -2244.5862    35664.978 
 1496000    510.89728    6015.5584    214.07577    35601.875 
 1500400    488.92063    6050.8505   -1130.5475     35636.73 
 1504800    502.03409     6041.934    1889.7285    35542.324 
 1509200    503.12142    6085.5466    31.004518    35619.669 
 1513600    500.16389    6097.6873    175.81927    35577.488 
 1518000    485.01239     6129.801   -253.83584    35602.017 
 1522400    504.56799    6113.8323   -206.78368    35618.884 
 1526800    498.45155     6104.096    1256.0935    35529.061 
 1531200    487.83595     6140.944    1820.3418    35583.841 
 1535600    500.18818    6162.1241   -1108.0323    35653.961 
 1540000    496.39276    6188.6374    304.90868    35592.425 
 1544400    492.42286      6194.09   -1020.8669    35645.613 
 1548800    508.09742    6203.3486   -1554.8723    35653.211 
 1553200    499.16004    6215.5989   -114.44698    35612.219 
 1557600    505.63106    6231.7288    3758.0114    35485.278 
 1562000    495.09838    6270.2697   -203.46343    35605.093 
 1566400    508.75322     6276.579   -1638.8699     35650.16 
 1570800    494.98839    6270.3307    2881.1272    35524.893 
 1575200    494.97411    6290.6906    2955.9095    35584.616 
 1579600     497.8038    6324.6705    1099.4524    35587.448 
 1584000    510.28528    6349.4892   -605.15918    35553.251 
 1588400    498.40969    6357.6973   -721.40568    35578.124 
 1592800    497.42766    6380.8741   -3167.8959    35696.234 
 1597200    491.98371    6380.2867    3906.8645    35498.947 
 1601600    490.71071    6415.7161   -1224.3768    35588.971 
 1606000    500.16347    6423.9855     2446.158    35558.901 
 1610400    499.04341    6433.0264    3953.4388    35484.675 
 1614800    488.28482    6441.4127   -930.76263    35607.486 
 1619200    507.68126    6452.8254   -801.05688    35625.427 
 1623600    492.61123    6464.4109    238.83305    35540.732 
 1628000    497.18537    6488.3708   -1478.1122    35616.782 
 1632400    507.54417    6523.2337   -3448.0615    35659.613 
 1636800    505.65883    6554.0578   -179.07012    35537.266 
 1641200    489.76342    6574.1669    -857.2898    35596.308 
 1645600    501.62679    6591.2834   -1763.3546    35658.692 
 1650000     502.4357    6606.5426   -2030.7214    35598.254 
 1654400     494.9957    6597.3416    1061.7142    35517.386 
 1658800    496.85049    6653.6444    1906.5589    35547.628 
 1663200    510.38483    6672.7747    4579.3013    35481.673 
 1667600     503.1225    6681.2009   -2012.3064    35600.312 
 1672000    510.55967    6694.9182    2883.6307    35539.276 
 1676400    496.14583    6723.2291    867.65348    35570.112 
 1680800    496.30172    6743.7021    1980.8436    35520.493 
 1685200    497.58085    6783.0798   -1356.5406    35655.432 
 1689600    507.11864    6797.6398   -896.37282    35606.478 
 1694000      496.663    6808.5444    1882.7901     35518.45 
 1698400    504.62716    6828.1451    -960.4705    35628.714 
 1702800    504.83251     6847.659   -815.43345    35596.413 
 1707200    485.37727    6875.7983    2531.2583     35496.94 
 1711600    505.87218    6895.6366   -2457.8111    35659.813 
 1716000    489.30202    6903.4593    2919.0563    35549.205 
 1720400    498.76264    6905.6336    1881.3969    35537.174 
 1724800    498.05181    6924.3326   -778.84802    35577.549 
 1729200    505.57852    6961.8724   -1974.9262    35648.709 
 1733600    489.57779    6966.8395   -2791.4622    35710.937 
 1738000     497.4171    6944.1917     1783.581    35511.518 
 1742400    513.54182    6988.8171     -1850.16    35659.712 
 1746800    496.58915    7001.2152   -1778.3607    35665.917 
 1751200    496.41778    7007.5988    1751.9636    35562.263 
 1755600    515.89314    7043.3493   -1473.6195    35657.999 
 1760000    500.34734    7043.4592   -2229.1602    35650.763 
 1764400    504.19187    7084.9141   -2408.7499    35672.019 
 1768800    516.89768    7066.3683    2819.1049    35513.744 
 1773200    502.17342    7094.4026    260.06667    35583.013 
 1777600    503.16632    7123.7881   -80.750418    35573.254 
 1782000    507.47051    7147.7685   -1015.5724    35636.523 
 1786400    501.40374    7164.8831    660.54438    35571.688 
 1790800    497.22829    7184.2595    1648.3123    35598.317 
 1795200    496.37011    7215.5865   -1128.0388    35654.968 
 1799600    501.10241    7211.5882    723.62507    35557.365 
 1804000    508.35637    7250.0474   -224.24289    35598.672 
 1808400    494.36737    7254.9464    1746.4756    35544.718 
 1812800    498.81913    7309.5943   -1417.4225    35607.347 
 1817200    503.24096    7321.5903   -121.95525     35591.52 
 1821600    486.13471    7358.9567   -2556.3855    35648.617 
 1826000    497.79951    7350.4413    3544.1918    35528.096 
 1830400    501.08677    7366.0299    1513.5906    35572.772 
 1834800    492.94432    7392.3686   -1314.3381    35607.153 
 1839200    498.13137    7396.6762    766.91664     35581.86 
 1843600     499.8039    7401.2634   -1182.3628    35597.744 
 1848000    490.19789     7437.545   -6313.1362    35699.974 
 1852400    498.59549    7427.3206     4374.076    35485.608 
 1856800    506.27282    7468.5139   -1274.4752    35639.949 
 1861200    502.98152    7478.3203   -2145.6572    35632.483 
 1865600     489.9823    7474.2129   -646.46653     35627.01 
 1870000    507.27837    7517.1011    859.70394    35579.959 
 1874400    485.31595    7547.1726    637.79492    35602.249 
 1878800    493.29937    7547.0798    1385.7625    35551.429 
 1883200    515.80047    7568.4779    1148.9608     35574.16 
 1887600    501.42658    7597.4614    340.18352    35531.386 
 1892000     500.0875    7630.5377    359.77512    35579.116 
 1896400    508.30702    7665.2089   -1865.1645    35649.702 
 1900800    491.91242    7666.5161   -246.30611    35609.981 
 1905200    506.98186     7683.802   -388.04092    35607.452 
 1909600    492.10326    7705.6417   -179.22165    35622.996 
 1914000    500.43608    7702.2076    884.86321    35545.201 
 1918400    512.24983    7718.7884    -170.2843    35648.507 
 1922800     513.4747    7710.7355    1013.5171    35561.615 
 1927200    493.69322    7723.2142   -2376.4586    35658.429 
 1931600    496.02847     7697.212    5187.9538    35435.662 
 1936000     506.2234    7740.4722    1770.8027     35569.57 
 1940400    485.98753    7749.5303    -537.6339    35633.721 
 1944800    495.56276     7740.851     -1217.92    35597.712 
 1949200    499.31947      7755.56    1606.6575    35572.823 
 1953600    490.28598    7768.5114   -963.20596    35587.778 
 1958000    500.55421    7783.1079    579.03543    35610.946 
 1962400    501.86234     7826.572    -1013.489    35657.526 
 1966800    492.44769    7846.7225    143.56846    35570.166 
 1971200    497.66855    7845.3235   -2039.0417    35633.762 
 1975600    494.31074    7878.6057   -511.12013    35614.876 
 1980000     490.1793    7917.1421   -1544.1189    35589.215 
 1984400    499.35068    7917.7187    1124.1684    35568.279 
 1988800    499.29471    7933.4424   -1042.3919     35627.65 
 1993200    496.71805    7936.5704    1689.5154    35522.751 
 1997600    504.66522    7969.1497    357.14225    35643.528 
 2002000    490.91853     7987.226   -2949.4103    35688.601 
 2006400    504.67815    7992.4107   -674.75687    35605.897 
 2010800    519.98241    8048.9584    -3092.309     35694.11 
 2015200    490.30803    8038.3919    534.79343    35570.371 
 2019600    505.69476    8051.6351    2694.9475    35532.429 
 2024000    505.98256     8064.595    550.24622    35593.492 
 2028400    500.80899    8098.9455    87.732289    35594.628 
 2032800    496.45248    8131.5477   -87.534815    35593.349 
 2037200    499.03383    8182.8392   -1782.3212    35668.877 
 2041600    500.98607    8160.8102    780.50089    35563.451 
 2046000    505.25678    8193.4618   -1337.8815    35600.461 
 2050400    492.20577    8214.0716   -2048.6156    35677.204 
 2054800    507.93679    8192.8552    1769.9754    35533.592 
 2059200    504.64683    8190.3861    2350.0098     35520.29 
 2063600     493.4849    8182.3131    373.41087    35547.252 
 2068000    494.24091    8218.2148   -88.508883    35643.618 
 2072400    496.24428    8235.9232   -584.18128     35595.04 
 2076800    494.01787    8273.8596   -659.34186    35621.071 
 2081200    501.38986    8277.9005    1894.4593     35546.42 
 2085600     499.0273    8301.7472   -812.90411    35602.912 
 2090000    487.29359    8310.9216   -608.20773    35595.748 
 2094400     510.6811    8341.0217   -740.99505    35629.977 
 2098800    487.06421    8375.2342   -2155.5816    35649.386 
 2103200    485.53726    8345.7839    2427.4087    35502.775 
 2107600    498.74477    8371.8168   -15.172097    35601.655 
 2112000    508.36208    8390.1197    1894.1472    35586.398 
 2116400    496.66121    8342.8182    1673.8819     35496.28 
 2120800    507.97943    8374.6627    1191.7725    35585.158 
 2125200    501.65611     8412.755     1980.147    35565.445 
 2129600    495.78403    8456.9547   -347.97371    35605.239 
